timestamp,temperature,humidity,room

2026-05-15 22:16:40,23.7,50.6,room1
2026-05-15 22:18:20,23.8,50.5,room1
2026-05-15 22:20:00,23.8,50.0,room1
2026-05-15 22:21:40,23.9,50.1,room1
2026-05-15 22:23:20,23.9,49.9,room1
2026-05-15 22:25:00,23.9,50.3,room1
2026-05-15 22:26:40,23.9,50.8,room1
2026-05-15 22:28:20,23.9,50.4,room1
2026-05-15 22:30:00,23.9,50.2,room1
2026-05-15 22:31:40,23.9,50.5,room1
2026-05-15 22:33:20,23.8,50.1,room1
2026-05-15 22:35:00,23.8,50.1,room1
2026-05-15 22:36:40,23.9,50.1,room1
2026-05-15 22:38:20,23.8,49.8,room1
2026-05-15 22:40:00,23.8,50.1,room1
2026-05-15 22:41:40,23.9,49.9,room1
2026-05-15 22:43:20,23.9,49.9,room1
2026-05-15 22:45:00,23.8,50.0,room1
